fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol_sulphate_interaction
0.247787611,0.397260274,0,0.068493151,0.106844741,0.14084507,0.098939929,0.567547724,0.606299213,0.137724551,0.153846154,5,0.021188392
0.283185841,0.520547945,0,0.116438356,0.143572621,0.338028169,0.215547703,0.494126285,0.362204724,0.209580838,0.215384615,5,0.045140488
0.283185841,0.438356164,0.04,0.095890411,0.133555927,0.197183099,0.169611307,0.508810573,0.409448819,0.191616766,0.215384615,5,0.041271303
0.584070796,0.109589041,0.56,0.068493151,0.105175292,0.225352113,0.190812721,0.582232012,0.330708661,0.149700599,0.215384615,6,0.032243206
0.247787611,0.397260274,0,0.068493151,0.106844741,0.14084507,0.098939929,0.567547724,0.606299213,0.137724551,0.153846154,5,0.021188392
0.247787611,0.369863014,0,0.061643836,0.105175292,0.169014085,0.120141343,0.567547724,0.606299213,0.137724551,0.153846154,5,0.021188392
0.292035398,0.328767123,0.06,0.047945205,0.095158598,0.197183099,0.187279152,0.464757709,0.440944882,0.077844311,0.153846154,5,0.011976048
0.238938053,0.363013699,0,0.020547945,0.088480801,0.197183099,0.053003534,0.332599119,0.511811024,0.083832335,0.246153846,7,0.020635652
0.283185841,0.315068493,0.02,0.075342466,0.101836394,0.112676056,0.042402827,0.494126285,0.488188976,0.143712575,0.169230769,7,0.02432059
0.256637168,0.260273973,0.36,0.356164384,0.098497496,0.225352113,0.339222615,0.567547724,0.480314961,0.281437126,0.323076923,5,0.090925841
0.185840708,0.315068493,0.08,0.061643836,0.141903172,0.197183099,0.208480565,0.42804699,0.42519685,0.125748503,0.123076923,5,0.015476739
0.256637168,0.260273973,0.36,0.356164384,0.098497496,0.225352113,0.339222615,0.567547724,0.480314961,0.281437126,0.323076923,5,0.090925841
0.088495575,0.339041096,0,0.047945205,0.128547579,0.211267606,0.187279152,0.310572687,0.661417323,0.113772455,0.230769231,5,0.026255182
0.283185841,0.335616438,0.29,0.047945205,0.170283806,0.112676056,0.081272085,0.538179148,0.409448819,0.736526946,0.107692308,5,0.079318287
0.380530973,0.342465753,0.18,0.198630137,0.273789649,0.718309859,0.491166078,0.626284875,0.330708661,0.329341317,0.123076923,5,0.040534316
0.380530973,0.342465753,0.19,0.205479452,0.263772955,0.704225352,0.501766784,0.626284875,0.338582677,0.359281437,0.123076923,5,0.044219254
0.345132743,0.109589041,0.56,0.061643836,0.133555927,0.478873239,0.342756184,0.501468429,0.440944882,0.251497006,0.323076923,7,0.081252879
0.309734513,0.301369863,0.28,0.054794521,0.594323873,0.211267606,0.176678445,0.494126285,0.291338583,0.568862275,0.138461538,5,0.078765546
0.247787611,0.321917808,0.08,0.239726027,0.123539232,0.070422535,0.081272085,0.538179148,0.503937008,0.101796407,0.092307692,4,0.009396591
0.292035398,0.136986301,0.51,0.061643836,0.549248748,0.225352113,0.176678445,0.501468429,0.236220472,0.449101796,0.123076923,6,0.055274067
