fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol_sulphate_interaction
0.172096961,0.41433932,-0.778394281,-0.037742947,0.101971559,-0.253336273,2.109472409,0.559293331,0.276406991,1.140551684,-0.905543789,6,-1.032819494
-1.013043166,0.017451943,-0.530475661,1.796019583,-0.447334679,-0.253336273,-0.102618853,0.017596299,0.011480335,-0.436815783,2.020108233,7,-0.88241516
-0.064931064,0.315117476,-1.191591983,-0.570125617,1.841441315,-0.312141119,-0.196750396,-0.343535055,-2.372859569,-0.436815783,-0.743007566,5,0.324557432
0.053582948,-0.280213589,0.048001121,-1.003918903,-0.493110199,-0.488555658,-1.326328912,-1.196206309,-0.054751329,-0.436815783,1.369963339,6,-0.598421609
-0.894529153,-0.875544654,-0.695754741,-0.471536233,-1.042416438,-0.723775044,-0.620342339,-0.577601674,1.203650288,0.176604898,0.882354669,6,0.155828157
-0.064931064,-1.073988343,-1.356871063,-0.25463959,0.147747079,-0.547360505,-1.326328912,-0.343535055,-1.246921281,-0.962604939,-0.580471343,6,0.558764581
0.290610974,-0.081769901,-0.778394281,1.22420116,-0.08113052,0.746346116,-0.479145025,1.080927509,-0.981994625,0.614762528,-0.417935119,7,-0.25693085
0.290610974,1.605001451,0.295919742,-0.72786863,-0.21845708,-0.018116887,-0.243816167,-1.48043006,-0.783299633,-0.524447309,2.426448792,7,-1.27254454
0.883181037,0.017451943,0.461198823,-0.885611643,0.285073639,-0.723775044,-0.526210796,0.024283917,0.40887032,-0.787341887,-0.092862672,6,0.073114671
1.831293138,0.712004853,3.105664111,1.145329653,0.01042052,-0.78257989,0.509236177,1.39524554,-1.379384609,1.403446262,-0.905543789,5,-1.270882046
-0.538987115,-1.173210187,-0.199917499,-0.215203837,-0.12690604,0.393517038,0.43863752,0.174755314,1.07118696,-0.173921205,-0.01159456,5,0.00201654
-1.013043166,-0.379435433,-0.530475661,-0.885611643,0.101971559,0.275907345,0.744565035,-0.076030348,2.991905216,0.439499476,-0.417935119,7,-0.183682266
1.00169505,0.41433932,2.279268708,1.066458146,-0.21845708,1.804833351,1.168156978,1.30830651,-1.246921281,0.439499476,-0.986811901,5,-0.433703314
-0.657501128,1.10889223,-0.943673362,-0.708150753,0.101971559,1.040370348,0.815163692,-0.33015982,0.342638656,-0.349184257,-0.580471343,5,0.202691455
-2.55372533,0.563172087,-1.604789684,-1.003918903,-0.447334679,1.98124789,0.697499263,-0.637790233,1.865966928,-0.261552731,-0.01159456,5,0.003032589
-0.064931064,-0.081769901,-0.28255704,1.303072666,0.056196039,1.98124789,0.509236177,1.010707524,-0.187214657,0.088973373,-0.743007566,6,-0.066107889
-1.487099216,0.017451943,-0.530475661,-0.49125411,-0.12690604,0.981565502,0.462170406,-0.671228321,1.07118696,-0.436815783,0.150941663,7,-0.065933701
1.949807151,-1.073988343,3.353582732,-0.55040774,0.193522599,-0.370945966,-0.243816167,-0.410411232,0.607565312,-0.787341887,1.532499563,6,-1.206601098
